,Fiscal Year,Fiscal Quarter,Train Arrivals,Train Arrival Ratio,Detraining Ratio,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
0,2021,4,2140,0.06550753030488551,0.04795278732546771,1630859,762.0836,187.0,1698.2159,243362,113.7206,16.0,309.95,0.1492,39.343,1387497
1,2022,1,2768,0.08473123545977715,0.0711563275174501,2420004,874.2789,209.5,2018.3384,471803,170.4491,23.0,490.5807,0.195,42.0054,1948201
2,2022,2,2516,0.07701726460144484,0.05561463513874182,1891436,751.7631,185.5,1671.0329,367965,146.25,21.0,427.0863,0.1945,40.4508,1523471
3,2022,3,2604,0.07971103220276723,0.08208465701280762,2791673,1072.071,266.5,2346.6767,539226,207.076,23.0,577.202,0.1932,39.7649,2252447
4,2022,4,2611,0.07992530917105424,0.08870688907667203,3016893,1155.455,298.0,2514.2213,729924,279.5573,36.0,738.7811,0.2419,40.2078,2286969
5,2023,1,2634,0.08062936206685442,0.08623967981352133,2932984,1113.5095,265.0,2501.0491,635842,241.3979,34.0,636.15,0.2168,44.7644,2297142
6,2023,2,2729,0.08353740663646382,0.07350721695978271,2499957,916.0707,217.0,2002.6144,468393,171.6354,21.0,461.7221,0.1874,41.7219,2031564
7,2023,3,2929,0.08965960573037836,0.0907381342388951,3085975,1053.5934,271.0,2351.3805,693595,236.8027,29.0,674.7411,0.2248,38.561,2392380
8,2023,4,3001,0.09186359740418758,0.10301913740384687,3503648,1167.4935,290.0,2607.2907,857504,285.7394,38.0,787.6521,0.2447,43.5911,2646144
9,2024,1,2863,0.08763928002938656,0.10752341370094004,3656837,1277.2745,353.0,2697.72,696392,243.2386,39.0,654.1101,0.1904,41.1537,2960445
10,2024,2,2911,0.08910860781192605,0.08944244434400898,3041909,1044.9705,277.0,2214.1622,569093,195.4974,28.0,542.148,0.1871,42.1121,2472816
11,2024,3,2962,0.09066976858087425,0.10401467746786569,3537506,1194.2964,314.0,2514.5336,800017,270.0935,35.0,777.9902,0.2262,41.5851,2737489
